,fuzzer,benchmark,n,average,stddev,cv
27,aflfast,lcms-2017-03-21,147,1898.1496598639455,558.1479078501995,0.29404841970690876
28,aflfast,libjpeg-turbo-07-2017,146,3650.1027397260273,157.81642453975164,0.04323615958042791
29,aflfast,libpcap_fuzz_both,148,108.66891891891892,94.95651625757809,0.8738148607922376
30,aflfast,libpng-1.2.56,142,1509.7464788732395,0.5765711770852808,0.00038189933551995426
31,aflfast,libxml2-v2.9.2,150,6928.586666666667,579.523597294389,0.08364239709701098
32,aflfast,libxslt_xpath,142,18676.316901408452,63.87114352137267,0.003419900393559712
33,aflfast,mbedtls_fuzz_dtlsclient,146,8104.780821917808,36.74431565715844,0.004533659387529711
34,aflfast,openssl_x509,142,13767.140845070422,12.488060425122399,0.0009070917894759519
35,aflfast,openthread-2019-12-23,143,5437.601398601399,271.85515871870786,0.0499954187132274
36,aflfast,php_php-fuzz-parser,145,43275.26896551724,166.8366739247819,0.0038552429115511983
37,aflfast,proj4-2017-08-14,149,4046.4563758389263,790.6280131507284,0.19538775158222543
38,aflfast,re2-2014-12-09,147,3518.904761904762,19.324316902397644,0.005491571443365096
39,aflfast,sqlite3_ossfuzz,136,34620.125,450.80015178774187,0.013021332296972984
40,aflfast,systemd_fuzz-link-parser,145,639.9655172413793,0.18309807266750286,0.00028610615374522245
41,aflfast,vorbis-2017-12-11,150,2163.4,5.951707216584595,0.0027510895888807406
42,aflfast,woff2-2016-05-06,151,1827.5033112582782,11.582673365670136,0.006337976677971214
43,aflfast,zlib_zlib_uncompress_fuzzer,146,948.8972602739726,11.341549764596742,0.011952347466281151
44,aflplusplus,bloaty_fuzz_target,143,8440.55944055944,363.39906714976354,0.043053907707055666
45,aflplusplus,curl_curl_fuzzer_http,154,17960.409090909092,101.35575175364852,0.0056432874797351425
46,aflplusplus,freetype2-2017,149,28012.838926174496,1095.4418586907348,0.039104992592063965
47,aflplusplus,harfbuzz-1.3.2,153,8579.901960784313,202.47442218924044,0.023598687154547823
48,aflplusplus,jsoncpp_jsoncpp_fuzzer,147,638.3469387755102,0.5054912329969845,0.0007918753929745913
49,aflplusplus,lcms-2017-03-21,146,3159.9246575342468,401.76395687391545,0.12714352410776147
50,aflplusplus,libjpeg-turbo-07-2017,154,3803.512987012987,19.311426741288344,0.005077260629114924
51,aflplusplus,libpcap_fuzz_both,141,4442.851063829788,208.95658934573723,0.04703209410887033
52,aflplusplus,libpng-1.2.56,147,2083.2380952380954,11.746951416427551,0.005638794453345948
53,aflplusplus,libxml2-v2.9.2,140,12277.835714285715,778.8175099618826,0.06343280103151239
54,aflplusplus,libxslt_xpath,145,18980.91724137931,117.2029639988465,0.0061747787268856755
55,aflplusplus,mbedtls_fuzz_dtlsclient,148,8304.695945945947,366.39413481150166,0.04411891021613646
56,aflplusplus,openssl_x509,142,13773.197183098591,8.188592165578942,0.0005945309616003576
57,aflplusplus,openthread-2019-12-23,149,5843.637583892618,22.193319778069224,0.003797860401069843
58,aflplusplus,php_php-fuzz-parser,152,43760.58552631579,168.85423958613296,0.003858591871093477
59,aflplusplus,proj4-2017-08-14,151,5617.430463576159,117.70712297527695,0.02095390832846063
60,aflplusplus,re2-2014-12-09,141,3530.248226950355,18.32295828749466,0.00519027476527427
61,aflplusplus,sqlite3_ossfuzz,138,36657.289855072464,239.10597482204332,0.006522740108921526
62,aflplusplus,systemd_fuzz-link-parser,149,640.0,0.0,0.0
63,aflplusplus,vorbis-2017-12-11,143,2168.048951048951,2.939120955412486,0.001355652488376922
64,aflplusplus,woff2-2016-05-06,151,1865.317880794702,17.868173143302297,0.009579157165260069
65,aflplusplus,zlib_zlib_uncompress_fuzzer,144,965.1736111111111,8.353492516207648,0.008654911841809557
66,aflsmart,bloaty_fuzz_target,144,8225.423611111111,279.99686761137775,0.03404041917466121
67,aflsmart,curl_curl_fuzzer_http,143,17631.11888111888,61.51565580076747,0.003489038682998413
68,aflsmart,freetype2-2017,139,20471.59712230216,391.4026933957611,0.019119304227092244
69,aflsmart,harfbuzz-1.3.2,144,8411.9375,96.0875343020713,0.011422758942523207
70,aflsmart,jsoncpp_jsoncpp_fuzzer,153,638.4509803921569,0.5122342246754089,0.0008023078363209316
71,aflsmart,lcms-2017-03-21,139,2539.3237410071943,162.7838976398801,0.0641052162869606
72,aflsmart,libjpeg-turbo-07-2017,141,3651.425531914894,165.2933856615716,0.04526817929513897
73,aflsmart,libpcap_fuzz_both,142,84.52112676056338,5.024363775197802,0.05944506382920246
74,aflsmart,libpng-1.2.56,148,1627.4662162162163,25.368955140196743,0.015588007227073746
75,aflsmart,libxml2-v2.9.2,147,10035.34693877551,1496.7767453379277,0.14915047326909467
76,aflsmart,libxslt_xpath,147,18851.972789115647,72.04640300530706,0.0038216903775133647
77,aflsmart,mbedtls_fuzz_dtlsclient,151,8656.662251655629,1053.056654933103,0.1216469609556155
78,aflsmart,openssl_x509,147,13777.829931972788,2.8844746195725546,0.00020935623634596128
79,aflsmart,openthread-2019-12-23,150,5774.106666666667,166.33822366865598,0.02880761185603129
80,aflsmart,php_php-fuzz-parser,152,43437.65789473684,113.1867767335321,0.0026057292731532485
81,aflsmart,proj4-2017-08-14,146,4611.465753424657,661.8061093744076,0.14351317883753645
82,aflsmart,re2-2014-12-09,142,3526.1408450704225,17.46144346242402,0.004951998297752422
83,aflsmart,sqlite3_ossfuzz,135,34983.46666666667,481.50031075143824,0.013763653423467796
84,aflsmart,systemd_fuzz-link-parser,147,639.9795918367347,0.14187529518898603,0.00022168721784050243
85,aflsmart,vorbis-2017-12-11,142,2167.3169014084506,4.748078698120425,0.0021907634712001935
86,aflsmart,woff2-2016-05-06,154,1863.3311688311687,18.79057446756174,0.010084398727333424
87,aflsmart,zlib_zlib_uncompress_fuzzer,147,964.8299319727892,7.490061131176789,0.00776308951761255
88,eclipser,bloaty_fuzz_target,106,8327.245283018869,395.14300753791593,0.04745182759822167
89,eclipser,curl_curl_fuzzer_http,145,17629.28275862069,65.59807155959041,0.0037209722288624055
90,eclipser,freetype2-2017,145,22744.124137931034,592.087454627442,0.026032545858294915
91,eclipser,harfbuzz-1.3.2,145,8407.620689655172,92.14625067472898,0.010959848698705773
92,eclipser,jsoncpp_jsoncpp_fuzzer,144,638.4583333333334,0.4999999999999996,0.0007831364615284207
93,eclipser,lcms-2017-03-21,149,2532.9060402684563,158.93077459044005,0.06274641540733795
94,eclipser,libjpeg-turbo-07-2017,146,3715.1849315068494,133.8441710206393,0.036026247276566434
95,eclipser,libpcap_fuzz_both,145,3992.7655172413793,418.2858873126182,0.10476094464009844
96,eclipser,libpng-1.2.56,138,1766.1739130434783,70.70488817835404,0.04003280065240862
97,eclipser,libxml2-v2.9.2,144,10013.881944444445,1486.8178649679328,0.14847567339185555
98,eclipser,libxslt_xpath,139,18840.89928057554,69.67869270350887,0.003698267883388439
99,eclipser,mbedtls_fuzz_dtlsclient,138,8485.90579710145,824.1766330392408,0.0971230005075895
100,eclipser,openssl_x509,141,13778.021276595744,3.304689492884083,0.00023985225647006706
101,eclipser,openthread-2019-12-23,151,5843.139072847682,42.68770935294276,0.007305612414961519
102,eclipser,php_php-fuzz-parser,152,43411.28947368421,127.89288935175695,0.0029460744175610174
103,eclipser,proj4-2017-08-14,142,6974.633802816901,308.13024507061937,0.04417869866460549
104,eclipser,re2-2014-12-09,150,3528.673333333333,18.247918578251024,0.005171325553395239
105,eclipser,sqlite3_ossfuzz,141,34813.113475177306,487.16777825946906,0.013993800887899121
106,eclipser,systemd_fuzz-link-parser,141,640.0,0.0,0.0
107,eclipser,vorbis-2017-12-11,142,2166.3380281690143,5.612659606403807,0.002590851258401081
108,eclipser,woff2-2016-05-06,137,1876.6204379562043,22.905217549354433,0.012205567565010705
109,eclipser,zlib_zlib_uncompress_fuzzer,144,962.3194444444445,7.814861919577769,0.008120860453037356
110,entropic,bloaty_fuzz_target,143,7528.916083916084,231.02336618922652,0.030684810883037792
111,entropic,curl_curl_fuzzer_http,147,16874.79591836735,517.3045913745581,0.03065545763498678
112,entropic,freetype2-2017,146,23122.986301369863,1139.7023567054773,0.04928871824129215
113,entropic,harfbuzz-1.3.2,148,8533.736486486487,90.23562214124445,0.010573987406821873
114,entropic,jsoncpp_jsoncpp_fuzzer,150,641.0,0.0,0.0
115,entropic,lcms-2017-03-21,143,3429.993006993007,149.05035052963476,0.04345500128593663
116,entropic,libjpeg-turbo-07-2017,147,3808.08843537415,13.857358052410737,0.0036389275846870485
117,entropic,libpcap_fuzz_both,146,3942.6849315068494,204.58036961899242,0.05188859195522989
118,entropic,libpng-1.2.56,145,2015.0137931034483,13.681895076105606,0.006789975891447009
119,entropic,libxml2-v2.9.2,145,7345.275862068966,666.4684547294231,0.09073429878530076
120,entropic,libxslt_xpath,147,16435.87074829932,384.181825390525,0.023374595193277344
121,entropic,mbedtls_fuzz_dtlsclient,147,8198.897959183674,39.302259458538416,0.004793602707851185
122,entropic,openssl_x509,148,13769.101351351352,13.173225714017354,0.0009567237089677231
123,entropic,openthread-2019-12-23,142,5895.5352112676055,14.97262844116968,0.002539655502786896
124,entropic,php_php-fuzz-parser,143,43479.405594405594,168.89530208704463,0.0038844896745501055
125,entropic,proj4-2017-08-14,150,7787.48,78.99254233765679,0.010143530684850143
126,entropic,re2-2014-12-09,151,3537.58940397351,19.256261846709748,0.005443328676041552
127,entropic,sqlite3_ossfuzz,142,31171.197183098593,752.6755513936715,0.024146507654886656
128,entropic,systemd_fuzz-link-parser,140,625.6928571428572,17.113205985908532,0.02735080925176883
129,entropic,vorbis-2017-12-11,153,2158.4771241830067,46.62562049358826,0.021601164993229317
130,entropic,woff2-2016-05-06,148,1858.4527027027027,64.1477179682712,0.03451673420312646
131,entropic,zlib_zlib_uncompress_fuzzer,149,979.6711409395973,9.180210026023019,0.009370705783185905
132,fairfuzz,bloaty_fuzz_target,144,8505.826388888889,571.7870811341435,0.06722298986504893
133,fairfuzz,curl_curl_fuzzer_http,141,16746.63829787234,594.8466942546228,0.03552036436651277
134,fairfuzz,freetype2-2017,146,20641.68493150685,258.13997147831054,0.012505760665123485
135,fairfuzz,harfbuzz-1.3.2,145,8453.303448275861,123.62703341423592,0.014624700765882353
136,fairfuzz,jsoncpp_jsoncpp_fuzzer,153,638.3856209150326,0.5016313257045518,0.0007857810534415492
137,fairfuzz,lcms-2017-03-21,149,2317.0604026845635,304.89263126079976,0.13158596595390817
138,fairfuzz,libjpeg-turbo-07-2017,148,3588.1216216216217,180.94340474248128,0.05042844803591284
139,fairfuzz,libpcap_fuzz_both,148,183.47297297297297,165.9518595036945,0.9045030274194147
140,fairfuzz,libpng-1.2.56,150,1513.14,12.18208057961864,0.008050861506284045
141,fairfuzz,libxml2-v2.9.2,146,7374.767123287671,1862.1362002155065,0.2525010171962374
142,fairfuzz,libxslt_xpath,149,18157.409395973154,875.4364935479005,0.0482137332730984
143,fairfuzz,mbedtls_fuzz_dtlsclient,145,8399.855172413792,488.72293871247217,0.05818230537087131
144,fairfuzz,openssl_x509,146,13759.143835616438,12.549482597400075,0.0009120831025048902
145,fairfuzz,openthread-2019-12-23,143,4554.034965034965,604.1119825837188,0.1326542258067798
146,fairfuzz,php_php-fuzz-parser,152,43110.56578947369,580.5902987312395,0.01346747109667956
147,fairfuzz,proj4-2017-08-14,150,4795.493333333333,332.63646332562627,0.0693643886466237
148,fairfuzz,re2-2014-12-09,148,3506.6554054054054,29.509300468161562,0.008415226777821925
149,fairfuzz,sqlite3_ossfuzz,142,25277.12676056338,2742.2423651988815,0.10848710738268111
150,fairfuzz,systemd_fuzz-link-parser,144,630.8194444444445,9.660425201502019,0.015314089136884241
151,fairfuzz,vorbis-2017-12-11,142,2126.1408450704225,36.773909875178404,0.017296083634553556
152,fairfuzz,woff2-2016-05-06,145,1669.606896551724,36.30643051239996,0.021745496252671474
153,fairfuzz,zlib_zlib_uncompress_fuzzer,141,965.0141843971631,8.284224091266857,0.008584561994228041
154,honggfuzz,bloaty_fuzz_target,145,8019.365517241379,239.45319113999378,0.029859368627752042
155,honggfuzz,curl_curl_fuzzer_http,144,17964.76388888889,94.87289886272588,0.005281054593843243
156,honggfuzz,freetype2-2017,144,28661.979166666668,778.039812999237,0.027145362449501827
157,honggfuzz,harfbuzz-1.3.2,143,8604.545454545454,93.34539279447041,0.010848381624291333
158,honggfuzz,jsoncpp_jsoncpp_fuzzer,139,640.136690647482,0.34476286428942676,0.0005385769466529217
159,honggfuzz,lcms-2017-03-21,147,3108.1360544217687,441.8492372808801,0.1421589111751676
160,honggfuzz,libjpeg-turbo-07-2017,149,3691.691275167785,140.5888628921541,0.03808250810077948
161,honggfuzz,libpcap_fuzz_both,145,4175.944827586207,237.02319914908304,0.05675917880507247
162,honggfuzz,libpng-1.2.56,149,2150.1946308724832,25.373607764322507,0.01180060976806861
163,honggfuzz,libxml2-v2.9.2,143,11180.13986013986,1212.4416443131472,0.10844601762414625
164,honggfuzz,libxslt_xpath,142,18891.788732394365,136.868100868176,0.007244846044328444
165,honggfuzz,mbedtls_fuzz_dtlsclient,147,8173.585034013606,128.99462893870077,0.0157818911043198
166,honggfuzz,openssl_x509,147,13739.272108843537,12.263409112337515,0.0008925806997041672
167,honggfuzz,openthread-2019-12-23,146,5835.082191780822,42.77068071653836,0.007329919152944285
168,honggfuzz,php_php-fuzz-parser,139,43825.34532374101,134.91987489253682,0.0030785809876881496
169,honggfuzz,proj4-2017-08-14,148,7670.189189189189,136.96180267700703,0.017856378675776205
170,honggfuzz,re2-2014-12-09,152,3512.184210526316,14.1353069071513,0.004024648497873938
171,honggfuzz,sqlite3_ossfuzz,135,30222.6,615.1019597558778,0.02035238396947575
172,honggfuzz,systemd_fuzz-link-parser,147,639.0,0.0,0.0
173,honggfuzz,vorbis-2017-12-11,152,2151.9276315789475,5.751017155855428,0.0026724956134494627
174,honggfuzz,woff2-2016-05-06,143,1891.4545454545455,21.068208234385438,0.011138627827465145
175,honggfuzz,zlib_zlib_uncompress_fuzzer,143,964.8951048951049,6.797589969270611,0.007044900460977659
176,lafintel,bloaty_fuzz_target,150,7514.633333333333,307.32472860854796,0.04089683620960188
177,lafintel,curl_curl_fuzzer_http,145,17512.344827586207,80.04880276278226,0.004570992836817941
178,lafintel,freetype2-2017,143,19599.153846153848,686.6350006022154,0.03503391044287155
179,lafintel,harfbuzz-1.3.2,149,8337.328859060402,87.14049256982088,0.010451847833148974
180,lafintel,jsoncpp_jsoncpp_fuzzer,146,638.9794520547945,0.14235352216089892,0.00022278262892981362
181,lafintel,lcms-2017-03-21,151,2550.735099337748,202.2952199793413,0.07930859618933521
182,lafintel,libjpeg-turbo-07-2017,151,3466.5165562913908,143.16465365932723,0.04129928455108552
183,lafintel,libpcap_fuzz_both,149,3714.711409395973,327.24037151201946,0.08809308057802263
184,lafintel,libpng-1.2.56,145,1614.4551724137932,12.151805598771949,0.007526877058223688
185,lafintel,libxml2-v2.9.2,146,6228.075342465753,200.98924608790745,0.032271485978577444
186,lafintel,libxslt_xpath,143,18531.874125874125,209.2275823767593,0.01129014696277462
187,lafintel,mbedtls_fuzz_dtlsclient,150,8215.033333333333,374.9690531600451,0.0456442521831981
188,lafintel,openssl_x509,149,13767.953020134228,12.326819568810656,0.0008953269633317269
189,lafintel,openthread-2019-12-23,143,5350.160839160839,207.6866426957217,0.03881876619026969
190,lafintel,php_php-fuzz-parser,149,42846.147651006715,239.07031013284086,0.005579738745245715
191,lafintel,proj4-2017-08-14,143,4435.51048951049,706.528917175149,0.15928919993448662
192,lafintel,re2-2014-12-09,143,3504.2097902097903,24.843695362233355,0.007089671238189769
193,lafintel,sqlite3_ossfuzz,133,26764.924812030076,1289.7258143195102,0.04818716373676547
194,lafintel,systemd_fuzz-link-parser,149,639.9261744966443,0.2623686217319125,0.00040999826571914717
195,lafintel,vorbis-2017-12-11,142,2153.8732394366198,19.482983721182276,0.009045557261428423
196,lafintel,woff2-2016-05-06,144,1858.9305555555557,16.038700040523825,0.008627917806069165
197,lafintel,zlib_zlib_uncompress_fuzzer,144,965.0347222222222,7.633578008313874,0.007910158911936084
198,libfuzzer,bloaty_fuzz_target,145,6947.703448275862,387.80022642209326,0.05581703786138563
199,libfuzzer,curl_curl_fuzzer_http,142,15990.704225352112,840.0942853934994,0.052536415754697675
200,libfuzzer,freetype2-2017,146,19505.931506849316,1123.49579842091,0.05759764910619139
201,libfuzzer,harfbuzz-1.3.2,149,8335.302013422819,102.10902392143889,0.012250188866223062
202,libfuzzer,jsoncpp_jsoncpp_fuzzer,148,641.0,0.0,0.0
203,libfuzzer,lcms-2017-03-21,149,3271.3288590604025,133.68945676722768,0.040867018427987165
204,libfuzzer,libjpeg-turbo-07-2017,148,3595.060810810811,290.4142766105036,0.08078146431826423
205,libfuzzer,libpcap_fuzz_both,145,3529.8206896551724,125.35276162391995,0.035512501241576
206,libfuzzer,libpng-1.2.56,142,1990.3239436619717,21.390840916555174,0.010747416763322677
207,libfuzzer,libxml2-v2.9.2,146,6922.226027397261,575.7108681722933,0.08316845851229147
208,libfuzzer,libxslt_xpath,152,15787.809210526315,116.1458738852336,0.007356680862839086
209,libfuzzer,mbedtls_fuzz_dtlsclient,148,7990.1621621621625,217.80372659911788,0.02725898701162024
210,libfuzzer,openssl_x509,146,13746.993150684932,7.492982073216656,0.0005450633452045711
211,libfuzzer,openthread-2019-12-23,146,5894.821917808219,10.134737076362239,0.0017192609408174424
212,libfuzzer,php_php-fuzz-parser,145,42172.95862068966,214.80501092922893,0.0050934299597336676
213,libfuzzer,proj4-2017-08-14,149,7695.040268456376,86.26615627722374,0.011210617913313237
214,libfuzzer,re2-2014-12-09,142,3515.6478873239435,21.594324570612848,0.006142345667913322
215,libfuzzer,sqlite3_ossfuzz,133,23814.69172932331,1142.663589378643,0.0479814562525564
216,libfuzzer,systemd_fuzz-link-parser,139,623.6402877697842,18.50264657694599,0.029668780128227074
217,libfuzzer,vorbis-2017-12-11,144,1974.9305555555557,161.5919341604127,0.08182157783009048
218,libfuzzer,woff2-2016-05-06,153,1684.0522875816994,56.378863019667556,0.033478095327210806
219,libfuzzer,zlib_zlib_uncompress_fuzzer,150,974.4666666666667,9.947963041753285,0.010208623221338118
220,mopt,bloaty_fuzz_target,146,9028.842465753425,366.4268791593075,0.0405840372726816
221,mopt,curl_curl_fuzzer_http,147,17559.12925170068,59.219266592364804,0.0033725628272044954
222,mopt,freetype2-2017,146,20568.95890410959,295.9095126534308,0.014386217310897021
223,mopt,harfbuzz-1.3.2,146,8387.253424657534,86.62673089429263,0.01032837885160597
224,mopt,jsoncpp_jsoncpp_fuzzer,144,638.4305555555555,0.49688227669338975,0.0007782871173216451
225,mopt,lcms-2017-03-21,144,2514.715277777778,133.34164874274194,0.053024551097718815
226,mopt,libjpeg-turbo-07-2017,148,3744.7094594594596,80.04915610362868,0.021376599965964672
227,mopt,libpcap_fuzz_both,147,162.1156462585034,461.50939848556084,2.846791220568899
228,mopt,libpng-1.2.56,146,1509.7808219178082,1.6504676481904272,0.001093183609322783
229,mopt,libxml2-v2.9.2,140,9183.592857142858,1086.063526742923,0.1182612887610974
230,mopt,libxslt_xpath,147,18641.455782312925,87.62077623865613,0.004700318326092912
231,mopt,mbedtls_fuzz_dtlsclient,146,8418.232876712329,627.0497097502508,0.07448709473040141
232,mopt,openssl_x509,148,13775.722972972973,5.0140224404446245,0.0003639752665091911
233,mopt,openthread-2019-12-23,148,5788.027027027027,158.55563825053108,0.027393728037232733
234,mopt,php_php-fuzz-parser,146,43340.020547945205,154.13064181817876,0.0035563121537441505
235,mopt,proj4-2017-08-14,154,4299.948051948052,748.4450616816556,0.1740590938866295
236,mopt,re2-2014-12-09,143,3520.937062937063,19.7577643084394,0.005611507378651651
237,mopt,sqlite3_ossfuzz,130,34981.7,421.02662734111385,0.012035625122310063
238,mopt,systemd_fuzz-link-parser,148,639.8986486486486,0.30281816606479023,0.000473228325617327
239,mopt,vorbis-2017-12-11,149,2168.3892617449665,6.153126440423471,0.0028376484559197042
240,mopt,woff2-2016-05-06,148,1859.3108108108108,15.326315172052254,0.008243008690606566
241,mopt,zlib_zlib_uncompress_fuzzer,146,961.3493150684932,6.801209289787788,0.007074649332124632
